연월일,단위가격(톤당달러)_합계,금액(백만달러)_합계,중량(톤)_합계,단위가격(톤당달러)_오세아니아,금액(백만달러)_오세아니아,중량(톤)_오세아니아,단위가격(톤당달러)_북아메리카,금액(백만달러)_북아메리카,중량(톤)_북아메리카,단위가격(톤당달러)_중남미,금액(백만달러)_중남미,중량(톤)_중남미,단위가격(톤당달러)_중동,금액(백만달러)_중동,중량(톤)_중동,단위가격(톤당달러)_아시아,금액(백만달러)_아시아,중량(톤)_아시아,단위가격(톤당달러)_아프리카,금액(백만달러)_아프리카,중량(톤)_아프리카,단위가격(톤당달러)_유럽,금액(백만달러)_유럽,중량(톤)_유럽,단위가격(톤당달러)_러시아,금액(백만달러)_러시아,중량(톤)_러시아,단위가격(톤당달러)_기타,금액(백만달러)_기타,중량(톤)기타
1988-01-01,180.239,21.000,116512.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,180.239,21.000,116512.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1988-02-01,180.595,21.000,116282.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,180.595,21.000,116282.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1988-03-01,169.245,10.000,59086.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,169.245,10.000,59086.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1988-04-01,190.888,33.000,172876.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,190.888,33.000,172876.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1988-05-01,194.606,45.000,231236.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,194.606,45.000,231236.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1988-06-01,188.417,33.000,175143.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,188.417,33.000,175143.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1988-07-01,183.732,21.000,114297.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,183.732,21.000,114297.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1988-08-01,166.365,38.000,228414.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,166.365,38.000,228414.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1988-09-01,153.313,35.000,228291.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,153.313,35.000,228291.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1988-10-01,157.008,18.000,114644.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,157.008,18.000,114644.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1988-11-01,140.537,32.000,227698.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,140.537,32.000,227698.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1988-12-01,132.196,15.000,113468.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,132.196,15.000,113468.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1989-01-01,143.322,32.000,223274.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,143.322,32.000,223274.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
